Judul,Harga,Penulis,Genre,Stock,Berat,Cetakan,Bulan,Tahun,Lebar,Panjang,Tebal,Format,ISBN,Sinopsis,Tentang_penulis,Foto Produk1,Foto Produk2
1421 Saat China Menemukan Dunia (Hard cover),115000.0,Gavin Menzies, Sejarah,50,628," I, April 2016",April,2016,15.0,23.0,528,, 978-602-9193-82-4,"Pada 8 Maret 1421, armada laut terbesar yang pernah ada berlayar dari China. Panjang iring-iringannya sekitar lima ratus kaki, di bawah komando laksamana Kaisar Zhu Di. Tugas mereka: ‘berlayar hingga ke ujung dunia’.

Pelayaran itu akan berlangsung dua tahun. Dan saat armada laut itu kembali, China memulai pengasingan dirinya yang panjang dari dunia luar yang baru saja ia taklukkan. Armada yang sangat besar itu dibiarkan teronggok. Catatan perjalanan mereka dimusnahkan. Musnah pula pengetahuan tentang China yang telah mengelilingi dunia seabad sebelum Magellan, sampai di Amerika tujuh puluh tahun sebelum Columbus, dan tiba ke Australia tiga ratus lima puluh tahun sebelum Cook.

Sebagai hasil penelitian selama lima puluh tahun, buku ini adalah catatan luar biasa tentang perjalanan hebat Gavin Menzies dan temuan-temuannya. Ia menjadi bukti persuasif untuk memerkuat temuan-temuan tersebut: peta kuno, pengetahuan navigasi, astronomi, catatan penjelajah China yang masih ada dan navigator Eropa. Juga jejak yang ditinggalkan oleh armada tesebut.

Setelah direvisi dan ditambahi bukti-bukti baru—termasuk bukti tentang armada China yang terdampar di South Island, Selandia Baru—buku 1421 ini menjadi sebuah karya legendaris dan cerdas. Ia melacak sejarah hingga mengubah pemahaman kita tentang penjelajahan dunia. Dengan buku ini, sejarah telah ditulis ulang.

***

“Menzies telah menghadirkan sesuatu yang sama sekali baru ...Ini adalah pernyataan yang mengejutkan.” —Guardian

“Tesis yang menarik dan sangat persuasif, disampaikan dengan penuh semangat dan energi.” —Evening Standard

“Dengan semangat dan keyakinan yang tak kunjung padam, Gavin Menzies secara fundamental telah menulis ulang sejarah eksplorasi maritim abad ke-15.” —New York Times

“Bagaikan novel, sangat memikat, buku paling menarik yang pernah diterbitkan.” —Fort Worth Star-Telegram

“Mencengangkan!  (Menzies)  harus  mendapatkan  hadiah  Nobel  dan  Pulitzer untuk karyanya.... Dia seperti seorang penulis misteri, dan Anda berjalan di sepanjang jalur penemuan bersamanya.” —San Bernardino Sun

“Sungguh menawan! Cerita detektif sejarah… yang menambahkan pengetahuan kita tentang dunia, dulu dan sekarang.” —Daily News","Gavin Menzies lahir di Inggris dan tinggal di China selama dua tahun sebelum Perang Dunia II. Ia bergabung dengan Angkatan Laut Inggris pada 1953 dan bertugas di divisi kapal selam sejak 1959 hingga 1970. Sejak keluar dari Angkatan Laut, ia sering kembali ke China dan Asia, dan sepanjang masa penelitiannya ia telah mengunjungi 120 negara, lebih dari 900 museum dan perpustakaan, serta setiap kota pelabuhan besar yang ada di akhir Abad Pertengahan. Menzies menikah, memiliki dua anak perempuan, dan tinggal di London Utara.",https://tokoalvabet.com/579-large_default/1421-saat-cina-menemukan-dunia-hard-cover.jpg,https://tokoalvabet.com/226-large_default/1421-saat-cina-menemukan-dunia-hard-cover.jpg
1453- Detik-Detik Jatuhnya Konstantinopel ke Tangan Muslim,99000.0,Roger Crowley, Sejarah,48,508," I, Agustus 2015",Agustus,2015,15.0,23.0,408,, 978-602-9193-82-4,"Selama lebih dari seribu tahun, Konstantinopel adalah pusat dunia Barat sekaligus pertahanan Kristen terhadap Islam. Selama itu pula kota ini tak lepas dari ancaman, namun selalu selamat dari penyerangan rata-rata setiap empat puluh tahun. Hingga akhirnya, sultan Usmani, Mehmet II, pemuda 21 tahun yang haus keagungan, berhasil melewati tembok pertahanan kota dengan bala tentaranya yang sangat besar. Berbekal persenjataan baru nan canggih, pada April 1453, sebanyak 80.000 pasukan Muslim memulai serangan mereka terhadap 8.000 pasukan Kristen di bawah pimpinan Konstantin XI, kaisar Byzantium ke-57. Konstantinopel akhirnya jatuh, menandai tersungkurnya kekuasaan Byzantium dan berakhirnya dunia Abad Tengah. Seperti apakah pertempuran dramatis yang berlangsung selama lima puluh lima hari itu?
Dengan riset sempurna, buku yang ditulis dengan gaya penceritaan novel ini mengisahkan peristiwa besar dalam sejarah dunia yang terlupakan: jatuhnya Konstantinopel ke tangan bangsa Muslim Turki Usmani pada 1453. Buku ini sekaligus menampilkan kontestasi dua tokoh inspirasional, Sultan Mehmet II dan Kaisar Konstantin XI, yang berjuang demi keyakinan agama dan kekaisaran. Lebih dari itu, inilah kisah tentang momentum dan mata rantai kunci berbagai peristiwa penting dalam sejarah dunia yang mengantarkan Timur Tengah menuju dunia modern.","ROGER CROWLEY (lahir pada 1951 di Inggris) adalah lulusan Cambridge University. Usai menuntaskan sekolah dasar dan menengah, ia menghabiskan masa musim panas di Yunani untuk membuat barang tembikar. Setamat dari universitas, anak dari keluarga angkatan laut ini hijrah ke Istanbul dan mengembangkan minat yang besar pada sejarah Turki: selama bertahun-tahun, ia bertualang ke seluruh kawasan Mediterania dan mendalami pengetahuan geografi dan masa lalu wilayah ini. Beberapa tahun terakhir, ia melakukan perjalanan kembali ke daerah-daerah berbahasa Yunani, termasuk dua kali kunjungan ke Gunung Athos, rumah spiritual dalam tradisi Byzantium. Alhasil, muncullah karya pertamanya, buku ini: 1453 (2005). Ia juga menulis Empires of the Sea (2008), kisah lanjutan dari sejarah dramatis tentang kontes besar abad ke-16 antara dinasti Usmani dan dinasti Hapsburg untuk mengendalikan Mediterania.
Roger Crowley kerap menjadi narasumber tentang kekaisaran di kawasan Mediterania, antara lain untuk program In Our Time di BBC, Pusat Analisis Naval di Washington, NATO, dan Hay Festival. Baru-baru ini, ia memberi andil untuk serial televisi yang bertajuk “Usmani versus Kristen: Benturan Peradaban di Eropa Abad ke-16. Kini, ia tinggal di Inggris, di kawasan perdesaan Gloucestershire.


 
***
“Tak berlebihan, buku ini mampu mengisahkan peristiwa besar dalam sejarah tentang kota Kristen yang jatuh ke tangan bangsa muslim. Penulis buku ini menuturkan kisah tersebut dengan gaya penceritaan novel. Tak pelak, buku ini bisa tampil dengan memikat.”
—N. Mursidi, Koran Jakarta


 
“Membaca buku sejarah yang ditulis Roger Crowley ini seperti membaca sebuah novel. Dengan bahasa yang mengalir dan penuh metafora, deskripsi latar, alur, dan penokohan cerita sejarah disajikan secara detail dan gamblang. Ketika membacanya, saya seakan-akan benar-benar menyaksikan secara langsung

rentetan peristiwa yang dipaparkan di dalamnya.”
—Muhammad Rajab, Okezone.com


 
“Kelebihan buku ini terletak pada kelihaian penulisnya dalam menggambarkan karakter para tokohnya dengan sangat rinci. Dituturkan pula kehadapan pembaca seni perang pengepungan, taktik perang samudra, mitos—dan takhayul yang menyelubungi dilakukannya pengepungan terhadap Konstantinopel.”
—Muhammad el-Rumi as-Shofa, Harian Radar Surabaya


 
“Karya Roger Crowley ini berhasil membangun versi cerita yang begitu memikat tentang penaklukan Konstantinopel. Selama ini, peristiwa berdarah itu diceritakan para sejarawan berdasarkan asumsi terkait detail dan pertentangan di antara dua kubu yang berseteru. Karena itu, Roger berusaha menjauhkan kata “barangkali”, “mungkin saja”, “bisa jadi”, dan istilah sejenisnya.”


 
—Mohamad Asrori Mulky, GATRA",https://tokoalvabet.com/50-large_default/1453-hard-cover.jpg,https://tokoalvabet.com/480-large_default/1453-hard-cover.jpg
200 Motivasi Nabi & Kisah Inspiratif Pembangun Jiwa Penulis,85000.0,Roger Crowley, Sejarah,44,508," I, Agustus 2015",Agustus,2015,15.0,23.0,408,, 978-602-9193-82-4,"abi Muhammad adalah sosok teladan dan motivator agung. Setiap ucapan, tindakan atau sifat beliau selalu mengandung pesan-pesan kebaikan atau hal-hal positif, yang dapat memotivasi, mendorong dan menggugah manusia untuk menjalani kehidupan dengan sempurna. Dengan meneladani ucapan, tindakan, dan sifat beliau, kita akan menjadi pribadi yang berkarakter kuat, berpikiran maju, dan berakhlak mulia yang penuh tanggung jawab, kasih-sayang, dan penghormatan pada orang lain.
Dalam buku ini, as-Samarqandi, seorang ahli hadis, ahli fikih dan motivator pada zamannya, menyajikan 200 lebih pesan motivasi ala Nabi yang penting untuk dicamkan dan direnungkan, kemudian diaplikasikan secara nyata dalam kehidupan sehari-hari sehingga akan membentuk kebiasaan (habit) positif dalam diri kita. Selain itu, penulis juga menyertakan kisah-kisah inspiratif sarat hikmah dan pesan moral yang dikutip dari khazanah klasik Islam, seperti tasawuf, falsafah, sejarah, serta hikayat para ulama wara’ dan karismatik dalam menyikapi kehidupan secara bersahaja namun punya daya dorong kuat untuk mengubah masa depan umat manusia. Inilah buku yang akan memengaruhi dan membentuk pribadi Anda.","AS-SAMARQANDI. Nama lengkapnya Abu Hafsh Umar bin al-Husain an-Naisaburi al-Hanafi. Lebih dikenal dengan sebutan as-Samarqandi. Dia adalah sastrawan, ahli hadis, ahli fikih, dan motivator pada zamannya. Menurut sejarawan, dia hidup sekitar tahun 840 H. Beberapa karyanya antara lain an-Nail al-Hatsîts fî Hikâyât al-Hadîts (edisi Indonesia diterbitkan oleh Pustaka Alvabet)",https://tokoalvabet.com/502-large_default/200-motivasi-nabi-dan-kisah-inspiratif-pembangun-jiwa.jpg,https://tokoalvabet.com/90-large_default/200-motivasi-nabi-dan-kisah-inspiratif-pembangun-jiwa.jpg
21 Wanita Perkasa yang Ditempa oleh Budaya Aceh,230000.0,Qismullah Yusuf, Sejarah/Biografi,50,504," I, 2021",,2021,17.0,25.0,404,, 978-623-220-116-3,"Wanita sering dipandang sebelah mata, lemah, dan hanya pantas me- ngerjakan urusan domestik. Padahal, dalam banyak hal, wanita bisa lebih kuat daripada laki-laki. Rupanya, sistem budayalah yang membuat kaum wanita dipandang lemah atau kuat. Dalam sejarah, budaya Aceh telah melahirkan para wanita tangguh yang memiliki keberanian melebihi kaum Adam. Bahkan, kepiawaian mereka dalam memimpin tak kalah dari para sultan pada zamannya.Buku ini menceritakan sosok 21 wanita tangguh yang diperkasakan oleh budaya, agama, adat dan resam Aceh. Ada wanita yang mahir mengurus kerajaan bahkan memperluas perdagangan negerinya ke luar negeri. Ada juga wanita sangat pem- berani, yang memimpin perlawanan terhadap penjajah Belanda hingga sampai titik darah penghabisan. Menariknya, di antara mereka banyak yang profilnya belum diketahui secara meluas dalam sejarah, meskipun peran mereka begitu penting.Buku ini disusun tak hanya bersumber dari literatur, namun lebih banyak berdasar- kan wawancara, visitasi, dan observasi. Di sela-sela kegiatannya sebagai pedagang dan konsultan di dalam dan luar negeri, penulis menyempatkan diri untuk me- ngumpulkan cerita-cerita tentang para wanita tangguh tersebut. Lebih dari 200 narasumber telah penulis wawancarai untuk memperoleh informasi dan data yang telah ia kumpulkan mulai tahun 1964. Dan, buku ini adalah hasil kegigihan penulis selama lebih dari 50 tahun untuk mengabadikan nama mereka, wanita-wanita tangguh yang dapat menjadi inspirasi bagi para perempuan Indonesia.
“Buku ini telah membangkitkan semangat kita bahwa kita setara dengan siapa pun. … Apa yang diperangi oleh 21 wanita perkasa dari Aceh ini adalah martabat dan harkat kemanusiaan yang ada dalam diri anak bangsa. Mereka tidak rela ditindas dan dinistakan. Mereka setara, sehingga Malahayati berani naik ke dek kapal Belanda dan mengajak pimpinan misi dagang Belanda yang berbalut militer untuk berduel satu lawan satu. Suatu keberanian yang luar biasa.”—Lestari Moerdijat, Wakil Ketua MPR RI
“Buku ini adalah ringkasan dari banyak sekali wanita Aceh yang sangat berperan dalam berbagai profesi di berbagai kerajaan di Aceh pada masa lalu, dimulai dari Kerajaan Jeumpa, didirikan sejak tahun 724 Masehi … Semoga informasi dari buku ini menjadi inspirasi generasi muda di Aceh dan di Negara Kesatuan Republik Indonesia.”
—Prof. Dr. Ir. Humam Hamid, M.Sc, Guru Besar Universitas Syiah Kuala",,https://tokoalvabet.com/697-large_default/21-wanita-perkasa-yang-ditempa-oleh-budaya-aceh.jpg,https://tokoalvabet.com/696-large_default/21-wanita-perkasa-yang-ditempa-oleh-budaya-aceh.jpg
50 Ikan,24900.0,Rebecca Hagelin, Parenting/Keluarga,1,552," I, November 2015",November,2015,13.0,20.0,452,, 978-602-71503-5-5,"Ikan merupakan salah satu sumber protein yang baik untuk badan. Baik ikan air tawar maupun ikan laut. Ikan sangat mudah untuk didapat, kecuali pada musim-musim tertentu yang membuat harga ikan menjadi mahal di pasaran.

Harus Anda perhatikan sewaktu memilih ikan segar. Pastikan mata ikan terang dan jernih. Insangnya masih berdarah merah dan segar. Juga tidak berbau. Badannya anjal dan tidak lembek.

Bila anda binggung untuk memasak ikan. Parisa menyediakan 50 resep masakan ikan pelbagai cara untuk anda coba. Ada resep ikan air tawar dan juga resep ikan air laut untuk variasi masakan anda.

Selamat mencoba!",,https://tokoalvabet.com/339-large_default/50-ikan.jpg,
59 Detik,99000.0,Richard Wiseman, Pengembangan Diri,49,456," I, Maret 2019",Maret,2019,15.0,23.0,356,, 978-623-7162-37-7,"Setiap orang ingin menjadi pribadi yang lebih kreatif, lebih meyakinkan, lebih menarik, dan tentu saja lebih sukses. Selama bertahun-tahun, para guru, motivator, dan trainer telah mengajarkan banyak cara memperbaiki hidup dengan mengubah cara berpikir dan bertindak. Tetapi, banyak dari cara atau teknik yang mereka ajarkan tidaklah efektif.

Dalam buku ini, Profesor Richard Wiseman, psikolog dan penulis buku laris, memberi tips dan trik untuk meningkatkan kemampuan Anda melalui metode ilmiah. Ia menyatukan beragam saran ilmiah guna membantu Anda untuk mengubah hidup hanya dalam waktu kurang dari satu menit, dan menuntun Anda untuk menjadi lebih kreatif, lebih imajinatif, lebih meyakinkan, lebih tegas, dan lebih bahagia.

Buku ini menguraikan hasil riset yang mendukung ilmu baru perihal “perubahan yang cepat” menuju sukses. Dengan paparan yang jelas dan penuh antusiasme, sang profesor menggambarkan bagaimana teknik unik—terkadang berlawanan dengan intuisi—dalam buku ini dapat dengan mudah diterapkan dalam kehidupan sehari-hari.","Richard Wiseman adalah satu-satunya orang Inggris yang menyandang gelar profesor bidang psikologi publik dari University of Hertfordshire di Inggris. Jangkauan penelitiannya—meliputi berbagai topik psikologi, antara lain keberuntungan, psikologi perubahan, kecurangan, dan persuasi—telah dipublikasikan di berbagai jurnal akademik terkemuka di dunia.

Richard merupakan Anggota Kehormatan British Science Association, dan pada 2010 menjadi Guest Director pada Edinburgh International Science Festival. Dia telah menjadi pembicara di banyak organisasi di seluruh dunia, termasuk di The Royal Society, The Swiss Economic Forum, Google, dan Amazon. Namanya terdaftar dalam Independent On Sunday sebagai 100 orang yang membuat Inggris menjadi tempat yang lebih baik untuk hidup, dan telah menjadi konsultan kreatif untuk Derren Brown, The MythBusters, dan Heston Blumenthal.

Sejumlah karyanya telah diterjemahkan ke dalam lebih dari 30 bahasa, antara lain The Luck Factor, Quirkology, Rip it Up, dan termasuk buku ini, 59 Seconds, yang menjadi buku laris dunia. Sementara itu, tulisan artikelnya banyak dimuat di The Times, The New York Times, The Guardian, The New Yorker, Behavioral Economics, Scientific American Mind, dan The Observer.



Richard memulai karier pertamanya sebagai pesulap profesional, dan saat ini ia termasuk satu dari hanya 300 anggota The Inner Magic Circle. Psikolog Inggris yang paling banyak follower-nya di Twitter ini telah membuat eksperimen partisipasi massa yang melibatkan lebih dari dua juta orang. Salah satu kolumnis ilmu pengetahuan Amerika menggambarkan dia sebagai “psikolog eksperimental yang paling menarik dan inovatif di dunia saat ini”.",https://tokoalvabet.com/503-large_default/59-detik-hard-cover.jpg,https://tokoalvabet.com/93-large_default/59-detik-hard-cover.jpg
Adabud Dunya wad Din,149000.0,Imam al-Mawardi, Motivasi Islam,48,636," I, Juli 2020",Juli,2020,15.0,23.0,536,, 978-623-7163-39-8,"Etika (akhlak, adab) adalah mahkota dan perhiasan paling berharga, juga tanda kehormatan, kemuliaan, dan martabat luhur orang beriman. Karena itu, Islam sangat menekankan pentingnya etika dalam kehidupan, tak hanya yang berkaitan dengan agamaseperti ritual ibadah kepada Allahtetapi juga duniaseperti hubungan dengan sesama dan alam semesta. Pendek kata, semua hal ada etikanya, dan Islam telah menunjukkan dan mendorong agar ia diterapkan di mana pun dan kapan pun.
Melalui karya agungnya ini, Imam al-Mawardi menjelaskan persoalan etika dunia dan agama, tak hanya tentang hakikat dan ragamnya tetapi juga tentang praktiknya serta tujuan dari penerapannya. Selain menyampaikan dalil-dalil al-Quran dan hadis secara literal, ia juga menjelaskannya secara filosofis, dengan bahasa sastra yang indah, serta diperkuat oleh pandangan para ulama saleh nan wara, cerita-cerita sarat hikmah, dan syair-syair pembangun jiwa yang jarang kita temukan.
Membaca buku ini, kita akan menemukan makna sejati dan keindahan etika Islam. Pada akhirnya, dengan penuh kesadaran dan ketulusan hati, kita akan terdorong untuk mempraktikkannya dengan antusias demi meraih kehidupan yang penuh berkah.",,https://tokoalvabet.com/580-large_default/adabud-dunya-wad-din-hard-cover.jpg,https://tokoalvabet.com/227-large_default/adabud-dunya-wad-din-hard-cover.jpg
Agama untuk Peradaban,85000.0,Komaruddin Hidayat, Sosial Keagamaan,19,466," I, April 2019",April,2019,15.0,23.0,366,, 978-623-220-036-4,"Agama merupakan elemen penting yang melahirkan peradaban sekaligus menjadi pilar utama penyangganya. Hampir tak ada peradaban besar di dunia lepas dari peran dan pengaruh agama. Agama menjadi sumber inspirasi, fondasi, nilai, maupun etos yang menjaga keberlangsungan peradaban. Namun, tak dipungkiri bahwa agama juga kerap menjadi sumber malapetaka yang menghancurkan peradaban. Di sini, agama kehilangan substansinya sebagai kekuatan moral, intelektual, sosial, dan etik karena terbawa arus dan terjebak dalam kepentingan praktis komunal dan sektarian.   

Melalui buku ini, Komaruddin Hidayat meletakkan fungsi dan peran agama di tempat yang selayaknya, sekaligus meresapkan nilai-nilai dan etos agama dalam wacana sosial, politik, dan pendidikan mutakhir. Agama dibumikan menjadi daya penggerak, pendorong dan elan vital kemajuan. Harapannya, agama dapat tetap menjadi suluh bagi peradaban.

Dengan narasi yang mengalir, ulasan rileks tetapi mendalam dan berbobot, serta menyorot tema-tema aktual dan kontekstual, buku yang merupakan kumpulan esai-esai kritis nan bernas ini sangat menggugah hati dan mencerahkan pikiran.

***


“Dalam berbagai kesempatan saya mengatakan bahwa semua agama, tanpa kecuali, bertujuan membangun peradaban, bukan membangun kebiadaban. Membaca karya Prof. DR. Komaruddin Hidayat ini dengan bahasa yang mengalir dan hidup, rasanya batin saya semakin diperkaya dan dicerahkan oleh diksi-diksi impresif yang bertebaran dalam karya ini.”

—Ahmad Syafii Maarif, Katua Umum PP Muhammadiyah (1998-2005) dan intelektual muslim","Prof. Dr. Komaruddin Hidayat, Ph.D. Lahir di Magelang, Jawa Tengah, 18 Oktober 1953. Pernah menjabat sebagai rektor Universitas Islam Negeri Syarif Hidayatullah Jakarta dua periode (2006-2010 dan 2010-2015). Selain sebagai akademisi, ia juga menjadi penulis kolom di beberapa media massa. Sejak 2001 menjadi Direktur Eksekutif Pendidikan Madania. 

Sejak kecil, ia dekat dengan dunia Islam terutama pesantren. Ia adalah alumnus Pesantren Modern Pabelan, Magelang (1969), dan Pesantren al-Iman, Muntilan (1971). Setelah lulus dari pesantren, ia melanjutkan studi sarjana muda (BA) di bidang Pendidikan Islam (1977) dan sarjana lengkap (Drs.) di bidang Pendidikan Islam (1981) di IAIN Jakarta. Selanjutnya, mengikuti studi doktoral ke luar negeri dan meraih doktor di bidang Filsafat Barat di Middle East Techical University, Ankara, Turki (1990). 

Ia sangat produktif menulis buku. Di antara karyanya adalah: Masa Depan Agama (1995), Memahami Bahasa Agama (1996), Tragedi Raja Midas (1998), Tuhan Begitu Dekat (2000), Wahyu di Langit, Wahyu di Bumi (2002), Menafsirkan Kehendak Tuhan (2003), Psikologi Kematian (2005), Berdamai dengan Kematian (2009), Spiritual Side of Golf (2010), 250 Wisdoms, Membuka Mata, Menangkap Makna (2010), Agama Punya Seribu Nyawa (2012), Life’s Journey: Hidup Produktif dan Bermakna (2013), Path of Life, Menanam Kebajikan Dalam Setiap Langkah (2014), Psikologi Kebahagiaan (2015), Penjara-Penjara Kehidupan (2015), Iman yang Menyejarah (2018).",https://tokoalvabet.com/473-large_default/agama-untuk-peradaban.jpg,https://tokoalvabet.com/48-large_default/agama-untuk-peradaban.jpg
Aib Jiwa dan Obatnya,55000.0,Syaikh Abu Abdurrahman as-Sullami, Motivasi Islam,39,348," I, Juli 2020",Juli,2020,13.0,20.0,248,, 978-623-7163-30-5,"Tiada manusia yang sempurna. Kita pasti pernah berbuat salah, khilaf, atau hal-hal buruk, baik terhadap Allah maupun terhadap sesama, disengaja maupun tidak. Semua itu adalah aib, kotoran, atau penyakit hati yang harus segera diobati. Bila terlambat ditangani, hati akan menjadi rusak, bahkan mati. Hati yang seperti ini akan jauh dari Allah dan jauh dari sesama. Pendek kata, hidupnya tidak berkah dan bahagia.


Dengan bahasa yang ringkas tetapi padat dan jelas, Syaikh as-Sullami, ulama besar ahli hadis dan terapis jiwa abad ke-5 H, dalam buku ini secara detail menyebutkan aib-aib yang kerap kali mengotori jiwa manusia, sekaligus obatnya yang manjur, paten, dan efektif. Beberapa aib itu, misalnya iri, dengki, riya, cinta popularitas, gila jabatan, berburu kesenangan yang diharamkan, kesombongan, ujub atau berbangga diri, tiadanya rasa takut terhadap Allah, dan lainnya.


Selain menyebutkan aib-aib jiwa dan obatnya, penulis juga menyampaikan nasihat-nasihat atau tips-tips kunci agar kita terhindar dari aib-aib tersebut sesuai dengan tuntunan al-Quran dan hadis-hadis Rasulullah. Penting disimak.


***


“Sosok Abu Abdurrahman as-Sullami begitu melekat di hati orang-orang. Ia adalah ahli hadis yang mumpuni, senang berkumpul dengan para syaikh, menafsirkan hadis, dan menulis kitab.” —Al-Hafizh al-Khathib al-Baghdadi (w. 463 H), penulis kitab Târîkh Baghdad


“Melalui kitab ini, Syaikh Abu Abdurrahman as-Sullami memotivasi kita untuk beramal dan mengambil langkah konkret. Ia mengungkapkan aib-aib manusia dan merumuskan langkah-langkah pengobatannya. Sebelum membacanya, mantapkan hati Anda dengan jujur untuk mengenali aib dan mengakui kekurangan diri sendiri. Setelah itu, jangan ragu obati hati Anda dengan penuh keimanan.” —Majdi Fathi as-Sayyid, penulis buku Islam dan penahkik kitab klasik","Imam Abu Abdurrahman as-Sullami. Lengkapnya, Muhammad bin al-Husain bin Musa bin Khalid bin Salim bin Rawiyah. Dikenal dengan kunyah (panggilan) Abu Abdurrahman as-Sullami. Ia adalah cucu Abu Amr bin Najid as-Sullami. Ia dilahirkan pada 330 H. Di antara gurunya Imam al-Hafizh ad-Daruquthni dan kakeknya, Ibnu an-Najid, Abu al-Abbas al-Asham, Ahmad bin Muhammad bin Abdush, Muhammad bin al-Muammal al-Masirjisi, Muhammad bin Ahmad ar-Razi, Shahib bin Warah, dan al-Hafizh Abu Ali an-Naisaburi. Sementara murid-muridnya antara lain Adapun para muridnya antara lain al-Hafizh al-Baihaqi, Syaikh al-Qusyairi, Abu Shalih al-Muadzin, Muhammad bin Yahya al-Markazi, Abu Abdullah ats-Tsaqafi, Ali bin Ahmad bin al-Akhram al-Muadzin, dan Muhammad bin Ismail at-Taflisi. Di antara karyanya: Thabaqât ash-Shûfiyyah, Târîkh Ahl ash-Shuffah, dan ‘Uyûb an-Nafs (edisi terjemahan bahasa Indonesia diterbitkan oleh Pustaka Alvabet, 2020). Ia wafat pada bulan Sya’ban 412 H.",https://tokoalvabet.com/538-large_default/aib-jiwa-dan-obatnya.jpg,https://tokoalvabet.com/151-large_default/aib-jiwa-dan-obatnya.jpg
Akhlak Orang Berilmu dan Ahli Quran,55000.0,Al-Ajurri, Islam/Inspirasi,22,320," I, Mei 2018",Mei,2018,13.0,20.0,220,, 978-602-51665-2-5,"Pada hakikatnya, ilmu dan al-Quran adalah anugerah Allah yang patut disyukuri. Dengan keduanya, manusia menjadi makhluk mulia dan terhormat. Bagi kaum Muslim, menuntut ilmu adalah suatu keniscayaan. Begitu pula mengajarkannya kepada orang lain. Dalam proses-proses itu, ada akhlak atau adab yang mesti dipegang kuat, sehingga ilmu yang diperoleh akan bermanfaat, bernilai, dan maslahat bagi banyak orang. Hal sama juga berlaku bagi ahli al-Quran—yakni orang yang intensif berinteraksi dengannya—baik membacanya, mempelajarinya, memahaminya, maupun mengajarkan dan mengamalkannya.


Melalui buku ini, Imam al-Ajurri memaparkan akhlak atau adab bagi para ahli Quran serta orang yang berkecimpung di bidang keilmuan, baik murid dan guru di sekolah, jamaah dan ustaz di majelis taklim atau penceramah di masjid, mahasiswa dan dosen di perguruan tinggi, maupun peneliti di bidang ilmu apa pun, juga masyarakat umum yang dahaga akan ilmu. Buku ini membimbing dan memandu mereka berdasarkan arahan dan petunjuk Nabi Muhammad SAW melalui hadis-hadisnya, sekaligus memotivasi mereka untuk sungguh-sungguh mencintai ilmu dan al-Quran.


Ditulis oleh Al-Ajurri, seorang ahli ibadah yang saleh sekaligus ahli hadis dan ahli fikih yang agung pada masanya, muatan dan pesan-pesan dalam buku ini sungguh otoritatif dan layak menjadi rujukan utama bagi para pegiat ilmu dan ahli Quran. Inilah bacaan yang akan membangun jiwa kita.


***


“Al-Ajurri adalah seorang ahli ibadah yang shaleh. Ia seorang fakih dan ahli hadis.” —Ibnu Khallikan, penulis kitab Wafayāt al-A‘yān


“Imam al-Ajurri adalah seorang ulama rabbani. Dengan ilmunya, ia tidak bersikap eksklusif terhadap orang lain. Sebaliknya, ia inklusif, berbaur dengan banyak orang; berbagi pengetahuan, mengajari mereka agama, dan mendidik mereka dengan baik. Ia sangat dekat dengan masyarakat. Ia berusaha memberikan obat bagi segala penyakit yang diderita masyarakat. Dengan karya-karyanya, ia menciptakan maslahat bagi banyak orang.” —Dr. Ahmad Haj Muhammad Utsman, pen-tahqîq kitab Akhlâq Ahl al-Qur’ân","Al-Ajurri, nama lengkapnya adalah Abu Bakar Muhammad bin al-Husain bin Abdullah al-Ajurri. Seorang Imam, hafizh, ahli Hadis, dan fakih (ahli fikih) bermazhab Syafi‘i. Dia lahir di al-Ajurr, salah satu daerah di Baghdad, Irak, pada tahun 264 H, pendapat lain menyebut tahun 280 H. Sepanjang hidupnya, dia telah bertemu dengan begitu banyak ulama, ahli Hadis, ahli qira’at, dan ahli zuhud.


Di antara guru-guru besar al-Ajurri adalah Imam al-‘Allamah al-Hafizh Syaikh Baghdad Abu Bakar Abdullah bin al-Imam Abu Dawud Sulaiman bin al-Asy‘ats as-Sijistani, Imam al-Hafizh al-Muhaddits Muhammad bin Muhammad bin Sulaiman Abu Bakar al-Baghandi al-Wasithi, Imam al-Hafizh al-Hujjah al-Mu‘ammir Musnad al-‘Ashr Abdullah bin Muhammad bin Abdul Aziz Abu al-Qasim al-Baghawi al-Baghdadi, Imam al-Muhaddits al-Qudwah Syaikh al-Islam Ahmad bin Muhammad bin Ziyad Abu Sa‘id bin al-A‘rabi al-Bashri, Imam al-Hafizh al-‘Allamah Syaikh al-Islam Abdullah bin Muhammad bin Ziyad Abu Bakar an-Naisaburi, dan lain-lain.


Beberapa karyanya antara lain: al-Arba‘īn fi al-Hadīts, Akhbār ‘Umar ibn ‘Abd al-Azīz, Akhlāk Hamlah al-Qur’ān, Ahkām an-Nisā’, Akhlāq al-‘Ulamā’, at-Tashdīq bi an-Nazhar ilā Allāh ‘azza wa jalla wa Mā A‘adda li Auliyā’ih, asy-Syarī‘ah, al-Ghurabā’ min al-Mu’minīn, dan Adab an-Nufūs. Kitab Akhlāq al-‘Ulamā’ dan Akhlāq Hamlah al-Qur’ān diterjemahkan oleh Penerbit Alifia. Ia wafat pada tahun 360 H.",https://tokoalvabet.com/498-large_default/akhlak-orang-berilmu-dan-ahli-quran.jpg,https://tokoalvabet.com/83-large_default/akhlak-orang-berilmu-dan-ahli-quran.jpg
